created_at;;full_text;lang;username
Mon May 13 09:37:29 +0000 2024;;@blackradit @phi_toyou @salohcinnavi Eitss mending bangun IKN dong..;in;Ariqibrahim
Mon May 13 09:37:24 +0000 2024;;@DokterTifa IKN cuma ladang buat bisnis korupsi doang;in;KaraKenangan
Mon May 13 09:36:55 +0000 2024;;@AisyahDeny Nah kan moso akeh sing wira wiri ikn ga dimurahne ;in;matchanthebeer
Mon May 13 09:36:21 +0000 2024;;@nmonarizqa Faskes RS di pelosok dg fasilitas maju dan canggih harusnya lebih jd prioritas drpd IKN sygnya yg kyk gt gk bs diiklanin ke singapore ;in;Nasgor_2karet
Mon May 13 09:35:58 +0000 2024;;@T0M5helby Gua kok nggak pingin2 amat tour ke IKN. Krn pasti tdk ada Pasar grosir Tanah Abang tdk ada Sarinah;in;Rfadlis1
Mon May 13 09:35:30 +0000 2024;;@T0M5helby Lhoooo emang ada apa di IKN kan enak dpt fasilitas mewah Wewe gombel ditiup aja kalau parang melayang yaa lari lahh ;in;sarpakana
Mon May 13 09:35:25 +0000 2024;;@baksocious Pengen bgt kek gini pola hidupnya sehat bgtttttt kamu. Tapi apalah daya sekarang ak dah jadi anak kos jam tidur berantakan apalagi kl jadwal kuliah siang sampe sore. Malem baru pulang lanjut ngerjain tugas sampe jam 2 pagi. Makanan pun ayam ge;in;ikn0wu_
Mon May 13 09:34:53 +0000 2024;;@mildandaru Wrexham dibeli Ryan Reynolds &amp;in;sarpakana
Mon May 13 09:30:27 +0000 2024;;@DokterTifa Sudahlah biarkan saja. Aslinya mereka juga bingung sendiri mau sampai mana kerjakan IKN. Bisa jadi kerja tahunan bakal hancur itungan detik. Kondisi lingkungan dan lahan sangat tidak mampu menopang sebuah kota besar.;in;fregnand88
Mon May 13 09:29:58 +0000 2024;;@fajarnugros Orang yang membandingkan / menyamakan Semanggi yang visioner dengan yang proyek IKN adalah sebuah ketololan yang hakiki.;in;BruleLecitin
Mon May 13 09:29:35 +0000 2024;;@DokterTifa IKN dari tempat jin buang anak sekarang diubah jadi tempat siluman aseng ?;in;arief_ars22
Mon May 13 09:29:22 +0000 2024;;Ngene Ki terus piye kok pada gak mau pindah trus utk siapa IKN ?? https://t.co/IRCLUA1ezC;in;akuteguh5
Mon May 13 08:24:37 +0000 2024;;Pemerintah terus berupaya membangun sistem pertahanan cerdas atau _smart defense system_ di IKN Nusantara. Sistem pertahanan cerdas harus dibangun di IKN karena daerah tersebut nantinya akan menjadi pusat pemerintahan Indonesia. https://t.co/SGy9tH4ywp;in;NurIchs85194019
